operacaoctef|ctefctef|cnpjctef|empresactef
1061652|000046/2020|15.610.424/0001-45|planforte construcao e prestadora de servicos ltda
1052738|000153/2024|29.878.872/0001-39|r f servicos de construcao civil ltda
1082413|002/2024|52.191.431/0001-86|LIMA ARQUITETURA E ENGENHARIA LTDA
1047956|000088/2020|15.610.424/0001-45|planforte construcao e prestadora de servicos ltda
0224980||02.899.027/0001-93|AMALFI COMERCIAL E CONSTRUTORA LTDA
0224980||18.640.071/0001-14|CONSORCIO POTIGUAR-PLANICIE
0237810|||AMAFI
0237810||01.264.703/8001-30|GALVAO MARINHO
1010373||05.157.468/0001-08|J R P CONSTRUÇÕES E COMÉRCIO
0352778|1038/2012|07.861.146/0001-70|CONSTRUTORA PLANICIE
0352778|||PM CAMPINA GRANDE
1003827|52/2015|17.560.794/0001-40|ELF Teixeira Construções e Serviços Eireli
1007149|135/15|16.896.799/0001-86|Sales Construções e Serviços Ltda (DISTRATADO)
0373042||07.940.834/0001-26|CEDRO ENGENHARIA  LTDA  CTEF 00026/2013
0373042||00.000.000/0000-00|A LICITAR
0224976|094/2017|05.219.643/0001-44|CONSERV - CONSTRUÇÕES E SERVIÇOS LTDA.
1003841||19.088.045/0001-98|ECOMAQ - Empresa de Construção e Máquinas Eireli
1034012||08.780.160/0001-02|MELF CONSTRUTORA EIRELI - ME
1013042||19.088.045/0001-98|ECOMARQ - Empresa de Construção e Máquinas Eireli
0335669||11.381.605/0001-96|EICOMNOR ENG IMP C. N. LTDA
1002217||10.997.953/0001-20|SERVCON CONSTRUÇÕES E COMÉRCIO
1002217||26.520.926/0001-00|MARCIEL E ROLIM CONSTRUÇÕES E SERVIÇOS
0424014||04.023.803/0001-12|CONSTRUDANTAS - CONST E INCORPORAÇÃO LTDA
0306468|00080/2017|24.024.359/0001-67|VN Construções e Incorporações Eireli
0306468|023/2011|70.119.805/0001-34|Gema Construções e Comércio Ltda
0218859|33015/2018|05.475.046/0001-80|ENGEMEC CONSTRUTORA
1035853|02018/2018||TACIANO ARAUJO DE NÓBREGA WANDERLEY CPF: 591.956.494-68
1035853|0205/2018|22.364.744/0001-28|GEOVANE QUEIROZ
0222916|2.08.005/2018|07.177.669/0001-00|SM Construções e Comércio Eireli EPP
0222916|02016/2006|03.503.388/0001-31|COMPECC Eng., Com. e Construções Ltda
0222916|1052/2011|13.558.309/0001-43|Andrade Galvão Engenharia Ltda
0222916|0216/2008|13.558.309/0001-43|Andrade Galvão Engenharia Ltda
0408671|0162/2018|07.534.344/0001-20|MMG COMÉRCIO E SERV LTDA - EPP
1043974|07.019/2018|19.563.875/0001-20|CONCRETE SERVIÇOS DE URBANIZAÇÃO CONST. LTDA-ME
0224973|0040/2008|35.596.014/0001-02|DORNELAS ENGENHARIA LTDA
0224973|0053/2012|09.267.923/0001-89|SANCCOL - Saneamento Construção e Comércio LTDA
0224973|0093/2017|08.676.980/0001-59|MCE - SERVIÇOS E OBRAS LTDA - ME
0224973|0149/2018|05.219.643/0001-44|CONSERV Construções e Serviços Eireli
0224973|149/2018|05.219.643/0001-44|CONSERV CONSTRUÇÕES E SERVIÇOS EIRELI
0373042|||
0373042||00.000.000/0000-00|CONSLUSÃO DA OBRA
1043974|07.005/2019|07.861.146/0001-70|CONSTRUTORA PLANÍCIE LTDA
1043974|07.004/2019|10.791.675/0001-50|POTIGUAR CONSTRUTORA LTDA
1043974|07.006/2019|05.475.046/0001-80|ENGEMEC CONSTRUTORA E INCORPORAÇÃO LTDA ME
1043974|07.001/2019|10.791.675/0001-50|POTIGUAR CONSTRUTORA LTDA
0445334|110/2013|09.123.654/0001-87|Emilio Falcao P. C. C. Ltda.
1043974|07013/2018|73.041.188/0001-90|Comercial e Const. FENIX Eirelli
0224980|125/17|08.846.230/0001-88|ATECEL
1060211|0180/2019|02.349.757/0001-10|ACCOCIL Construções e Locações
1041810|00065/2019|04.441.785/0001-99|Construtora Suassuna e Martins LTDA
0352766|50002/2015-SEDES|05.790.756/0001-03|IDEIAS - INST. DE DESENV. INT. DE ASSOC. SUSTENTÁVEL
0424015|33001/2019 SEPLAN|21.084.632/0001-50|PLANES ENGENHARIA E CONSTRUÇÃO LTDA.
1044210|00331/2019|20.010.332/0001-64|Montbravo Contruções e Serviços Eireli
1043998|078/2019|28.697.127/0001-20|JGM Engenharia e Incorporações (Distratado)
0408671|0158/2018|30.739.706/0001-30|CONSORCIO TOP URBANIZA
0408671|112/2018|23.572.690/0001-59|LAPOC Engenharia e Planejamento
0352778|2.08.014/2019|07.177.669/0001-00|SM CONSTRUÇÕES COMÉRCIO E INDUSTRIA EIRELI EPP
0350945|111/2019|23.572.690/0001-59|LAPOC Eng e Planejamento LTDA
0350945|0123/2019|34.771.737/0001-20|CONS Terral ENGEC Mastertop
0224979|0166|02.904.580/0001-77|CONSSOL Construções e saneamento LTDA
0350808|165/2019|09.267.923/0001-89|Sanccol Saneamento Construção e Comércio LTDA
0237810|122/2019|34.771.737/0001-20|Consórcio Terral ENGEC Mastertop
0237810|111/2019|23.572.690/0001-59|LAPOC Engnharia e Planejamento LTDA
0350808|173/2019|02.095.512/0001-04|SANIR Comercial e Técnica Eireli
0350808|162/2019|08.008.080/0001-33|INAPI Ind Nord Acess Irrigação
0350808|172/2019|08.739.643/0001-63|VCW Val Ind Com e Representação LTDA
0408671||09.123.654/0001-87|CAGEPA
0350880|139/2019|09.267.923/0001-89|SANCCOL Saneamento Construção e Comércio
0350808|179/2020|01.679.707/0001-39|Helibombas Ind Com Equip Hidráulicos
0350808|178/2020|60.680.873/0001-14|KSB Brasil LTDA
1002217|00058/2020|04.328.497/0001-22|ML Dantas Construções Eireli
0350945||09.123.654/0001-87|CAGEPA
0350808|040/2021|10.967.452/0001-09|Const e Incorp VALENÇA Eireli - EPP
0350808|0051/2021|24.096.426/0001-59|AF HIDROELETRIC EIRELLI-ME
0350945|0038/2021|10.967.452/0001-09|Construtora e Incorporadora Valença - EIRELI - EPP
0350880||09.123.654/0001-87|CAGEPA
0224976|049/2021|09.267.923/0001-89|SANCCOL- Saneamento, Construção e Comércio LTDA
0301542|34001/2021|10.715.077/0001-00|ARKO Construções LTDA
0224973|0330/2021|06.927.666/0001-76|CONSTEM CONSTRUTORA EIRELI
1059698|000123/2022|27.944.573/0001-20|b2 construcoes ltda
1077138|00096/2022|14.175.618/0001-05|CONSTRUTORA REALIZAR EIRELI
1072208|126.0.01/2022|36.424.774/0001-97|ANDRE SANTA CRUZ DA SILVA CESAR  EIRELI
1072208|126.0.02/2023|07.242.420/0001-23|AF ENGENHARIA EIRELI
1061800|002/2021|27.343.319/0001-76|B3M CONSTRUTORA EIRELI
1062223|057/2020|26.764.981/0001-37|Obraplan Empresa de Limpeza e Serviços Urbanos Ltda.
1073587|257/2022|33.506.391/0001-70|A S Construções (Vigência vencida)
1075417|003/2022|28.111.124/0001-63|ELO CONSTRUCOES E EMPREENDIMENTOS EIRELI
1076174|20201/2022|26.836.842/0001-71|HARPIA EMPREENDIMENTOS EIRELI
1075429|022022/2022|36.121.012/0001-11|PR CONSTRUCOES LTDA
1064031|000129/2022|23.744.455/0001-17|arc empreendimentos e servicos ltda
1075435|022022/2022|36.121.012/0001-11|PR CONSTRUCOES LTDA
1073973|139/2022|35.042.630/0001-03|SOMOS CONSTRUÇÕES EIRELI
1075434|022022/2022|36.121.012/0001-11|PR CONSTRUCOES LTDA
1075981|00002/2022|17.415.942/0001-33|DEL ENGENHARIA  - EIRELI
1077585|293/2022|04.326.123/0001-78|N & S Construções e Projetos Ltda.
1077784|00003/2022|11.150.150/0001-06|CONSTRUTORA DOIS IRMAOS LIMITADA
1068655|032022/2022|38.495.416/0001-09|ATLAN ENGENHARIA, CONSTRUCOES E SERVICOS LTDA
1076060|04401/2022|14.175.618/0001-05|CONSTRUTORA REALIZAR EIRELI
1059698|000013/2020|36.121.012/0001-11|pr construcoes ltda
1075433|022022/2022|36.121.012/0001-11|PR CONSTRUCOES LTDA
1072488|000022021/2021|42.733.975/0001-79|DUARTE MARTINS CONSTRUCOES, SERVICOS E LOCACOES LTDA
1061800|002/2021|27.343.319/0001-76|B3M CONSTRUTORA EIRELI
1073953|0092021/2021|29.828.673/0001-16|AMETISTA CONSTRUCOES E SERVICOS EIRELI
1073646|00002/2021|05.052.764/0001-44|CONSTRUTORA GURGEL SOARES LTDA
1072208|126.0.03/2024|07.242.420/0001-23|AF ENGENHARIA EIRELI
1072208|126.0.04/2025|36.424.774/0001-97|ANDRE SANTA CRUZ DA SILVA CESAR  EIRELI
1063243|85/2022|19.910.105/0001-06|RENOVAR Construções e Serviços Ltda
1065988|032021/2021|05.881.170/0001-46|ESTRUTURAL SERVICOS DE CONSTRUCAO CIVIL E LOCACOES EIRELI
1068616|103/2021|11.306.141/0001-53|KANOVA ENGENHARIA E CONSTRUCOES LTDA
1070345|08/2021|03.278.968/0001-72|MAXICASA COMERCIO CONSTRUCOES E SERVICOS LTDA.
1055747|000122/2021|40.760.485/0001-36|pierre jan de oliveira chaves eireli
1063358|07/2021|36.240.305/0001-18|GERPLAN ENGENHARIA LTDA
1018448|002005/2021|35.042.630/0001-03|Somos Construções Eireli
1074365|00003/2022|23.246.832/0001-98|DRENA CONSTRUÇÕES E LOCAÇÕES EIRELI
1070519|0080/2022021|35.223.617/0001-50|JANIO IDALINO DE SOUSA
1073602|0012022/2022|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA EIRELI
1070506|001/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1069318|001/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1064096|001/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1073867|00005/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES EIRELI
1076209|229/2022|26.951.460/0001-99|J R MUNIZ ENGENHARIA  EIRELI
1061704|000065/2022|28.697.127/0001-20|jgm engenharia e incorporacao ltda
1063259|06/2021|30.270.444/0001-08|R ALMEIDA DOS SANTOS CONSTRUCOES E SERVICOS EIRELI
1030113|000435/2022|30.482.972/0001-20|construmais empreendimentos ltda
1075913|060/2022|17.620.703/0001-15|CONSTRUTORA APODI EIRELI
1073575|02.0007/2022|26.764.981/0001-37|Obraplan Empresa de Limpeza e Conservação Urbana Eireli (Vigência Expirada)
1064872|088/2022|20.002.412/0001-78|Construtora Daki Eireli
1074496|089/2022|40.262.021/0001-08|N & G Engenharia
1080764|00005/2022|16.707.246/0001-38|JAILSON BATISTA DOS SANTOS
1063259|06/2021|17.620.703/0001-15|CONSTRUTORA APODI EIRELI
1065921|00001/2021|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS EIRELI
1064083|0133/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUCOES E SERVICOS LTDA
1074537|0140/2022|00.338.885/0001-33|NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA
1074123|000012022/2022|00.338.885/0001-33|NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA
1064184|00006/2021|30.676.883/0001-15|GRAMARE CONSTRUCOES E SERVICOS EIRELI
1076170|001/2022|08.317.848/0001-50|APN CONSTRUCOES E SERVICOS EIRELI
1072584|00079/2022|35.223.617/0001-50|JANIO IDALINO DE SOUSA
