operacao|dv|convenioTgov|propostaTgov|nomeTomador|cnpjTomador|emailTomador|classificacao|objeto|selecao|assinatura|vigencia|vi|vr|cp1|cp2|vrCreditado|vrDesbloqueado|vrSaldoCreditado|cpDesbloqueado|valorExecucaoVigente|cAgencia|agencia|cCorrente|idExterna|obtv|gestor|etiquetasDaOperacao
0218859|84|597888|0|MUNICIPIO DE JOAO PESSOA - PB|08.778.326/0001-56|ag1909@caixa.gov.br;ag1909pb02@caixa.gov.br;seg6918pb@caixa.gov.br;bruno.vilar@caixa.gov.br;ana.n.rodrigues@caixa.gov.br;adriana.cassimirobatista@hotmail.com;ana.maria.patos@hotmail.com;arqglaualmeida@hotmail.com;dianaraduarte@hotmail.com;diegotavaresjp@gmail.com;glauciene.soares@joaopessoa.pb.gov.br;isabela_queiroga@hotmail.com;israelvcac@gmail.com;jaelsonjpa@hotmail.com;eng.arq.smsjp@gmail.com;eng_cassiareis@hotmail.com;ildebertosec.executivosemhab@gmail.com;julianny.albuquerque@joaopessoa.pb.gov.br;k.cilenejp@gmail.com;socialsemhab@gmail.com;karlasouza_02@gmail.com;kel_bfeitosa@hotmail.com;lucianomedeiros96@hotmail.com;marcos.arquiteto@live.com;margo.gapre@gmail.com;norma.gouveia1@gmail.com;pereiraln@gmail.com;pmjpseplanconvenios@gmail.com;rpr.rodrigues@gmail.com;rubensfalcao@gmail.com;samanda.silva@joaopessoa.pb.gov.br;sheilafreire@hotmail.com;sosgadelha@yahoo.com.br;thatiana.seinfra@gmail.com;tonissouza@gmail.com;zupsi@hotmail.com||URBANIZACAO DE ASSENTAMENTOS PRECARIOS / RIO JAGUARIBE|08/03/2007|10/09/2007|01/04/2025|80337102,29|69131725,6|11205376,69|0|69131717,71|56685491,1|12446226,61|5479640,23|80337102,29|1909|CIDADE ANTIGA|1909.006.00647029-0|PAC|NÃO|MCIDADES|Aferição por parcelas, Aguardando Processo Licitatório, Aguardando Relatório Pós Intervenção, Andamento Normal, Falta Regularização Fundiária, PAC, Termo Aditivo - Assinatura Digital, Trabalho Social, Vigência Vencida
0222916|56|597868|0|MUNICIPIO DE CAMPINA GRANDE - PB|08.993.917/0001-46|brunoclimab@gmail.com;felipemottagadelha@gmail.com;felixaraujoneto@hotmail.com;joabmachado@gmail.com;jbstiago2@gmail.com;joaobatistasantiago@hotmail.com;coordgestaopmcg@gmail.com;marianadamascenoarq@gmail.com;contato@consultoriaum.com.br;mohana.seplancg@gmail.com;natanylfelix@gmail.com;ras.carvalho@yahoo.com.br;ronaldoclneto@gmail.com;ruibarbosa.cgpb@gmail.com;secretariadeplanejamentopmcg@gmail.com;sejelcampinagrane@gmail.com;tuliodudapaz@gmail.com;waleriamedeiros@hotmail.com;ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br||URBANIZACAO DE ASSENTAMENTOS PRECARIOS|11/06/2007|10/09/2007|30/09/2025|56501915,28|42614890,3|6120883,41|7766141,57|39077338,25|38577517,45|499820,8|6856257,86|56501915,28|41|CAMPINA GRANDE|0041.006.00647223-3|PAC|NÃO|MCIDADES|Aguardando BM/RRE, Aguardando Relatório Pós Intervenção, Andamento Normal, Falta CEI / CND / Outras Certidões, Falta Regularização Fundiária, Novo PAC Legado, Obra em execução, Trabalho Social, TS Paralisado
0224976|27|593861|0|ESTADO DA PARAIBA|08.761.124/0001-00|brenowanderley@cge.pb.gov.br;daniellecabral@cge.pb.gov.br;edison@cge.pb.gov.br;elias.asfora@gmail.com;eliaslopes@cge.pb.gov.br;ivo@cge.pb.gov.br;dantas@cge.pb.gov.br;sabino@cge.pb.gov.br;letaciojunior@gmail.com;valeriar@cge.pb.gov.br;claudiaoliveira@cagepa.pb.gov.br;darleymbc@cagepa.pb.gov.br;joaomelo@cagepa.pb.gov.br;gepe@cagepa.pb.gov.br;lopes@cagepa.pb.gov.br;marcus.neves@cagepa.pb.gov.br;ricardomoises@cagepa.pb.gov.br;dex@cagepa.pb.gov.br;rinaldoaraujo@cagepa.pb.gov.br;bonaldo.alves@seplag.pb.gov.br;diegoserafim@seplag.pb.gov.br;fernandoaraujo@seplag.pb.gov.br;girlando.gomes@seplag.pb.gov.br;marialvo.santos@sefaz.pb.gov.br;mario.pedrosa@sefaz.pb.gov.br;bruno.frade@sefaz.pb.gov.br;maria.martins@sefaz.pb.gov.br||Ampliacao do sistema de esgotamento sanitario Varzea Nova|24/07/2007|14/09/2007|31/05/2025|5739752,49|3290000|2449752,49|0|3007455,25|2461379,76|546075,49|2098932,26|5739752,49|36|CABO BRANCO|0036.006.00000114-2|PAC|NÃO|MCIDADES|MICE, Módulo Paralisadas, Obra Paralisada, PAC, Portaria 350/2019 com TA formalizado, Portaria 350/2019 com TA formalizado (retomada), Portaria MPOG 348/16, Sem retomada 25.1
0224979|50|593862|0|ESTADO DA PARAIBA|08.761.124/0001-00|brenowanderley@cge.pb.gov.br;daniellecabral@cge.pb.gov.br;edison@cge.pb.gov.br;elias.asfora@gmail.com;eliaslopes@cge.pb.gov.br;ivo@cge.pb.gov.br;dantas@cge.pb.gov.br;sabino@cge.pb.gov.br;letaciojunior@gmail.com;valeriar@cge.pb.gov.br;claudiaoliveira@cagepa.pb.gov.br;darleymbc@cagepa.pb.gov.br;joaomelo@cagepa.pb.gov.br;gepe@cagepa.pb.gov.br;lopes@cagepa.pb.gov.br;marcus.neves@cagepa.pb.gov.br;ricardomoises@cagepa.pb.gov.br;dex@cagepa.pb.gov.br;rinaldoaraujo@cagepa.pb.gov.br;bonaldo.alves@seplag.pb.gov.br;diegoserafim@seplag.pb.gov.br;fernandoaraujo@seplag.pb.gov.br;girlando.gomes@seplag.pb.gov.br;marialvo.santos@sefaz.pb.gov.br;mario.pedrosa@sefaz.pb.gov.br;bruno.frade@sefaz.pb.gov.br;maria.martins@sefaz.pb.gov.br||Implantacao do SES do Centro e as praias de Ponta de Campina, do Poco, Camboinha, Formosa e Areia Dourada, constando de|24/07/2007|14/09/2007|31/08/2025|21156696,82|15573898,38|5582798,44|0|15573897,38|15557238,17|16659,21|4661878,36|21156696,82|36|CABO BRANCO|0036.006.00000117-7|PAC|NÃO|MCIDADES|Aguardando Relatório Pós Intervenção, Andamento Normal, Não haverá inauguração, PAC, Saldo decorrente de rendimento do FI, Trabalho Social
0224980|88|593858|0|ESTADO DA PARAIBA|08.761.124/0001-00|brenowanderley@cge.pb.gov.br;daniellecabral@cge.pb.gov.br;edison@cge.pb.gov.br;elias.asfora@gmail.com;eliaslopes@cge.pb.gov.br;ivo@cge.pb.gov.br;dantas@cge.pb.gov.br;sabino@cge.pb.gov.br;letaciojunior@gmail.com;valeriar@cge.pb.gov.br;claudiaoliveira@cagepa.pb.gov.br;darleymbc@cagepa.pb.gov.br;joaomelo@cagepa.pb.gov.br;gepe@cagepa.pb.gov.br;lopes@cagepa.pb.gov.br;marcus.neves@cagepa.pb.gov.br;ricardomoises@cagepa.pb.gov.br;dex@cagepa.pb.gov.br;rinaldoaraujo@cagepa.pb.gov.br;bonaldo.alves@seplag.pb.gov.br;diegoserafim@seplag.pb.gov.br;fernandoaraujo@seplag.pb.gov.br;girlando.gomes@seplag.pb.gov.br;marialvo.santos@sefaz.pb.gov.br;mario.pedrosa@sefaz.pb.gov.br;bruno.frade@sefaz.pb.gov.br;maria.martins@sefaz.pb.gov.br||Ampliacao do SES: rede coletora e ligacoes domiciliares|24/07/2007|14/09/2007|31/03/2026|13864695,12|7706219,33|6158475,79|0|7701947,7|3562581,59|4139366,11|2253417,01|13864695,12|36|CABO BRANCO|0036.006.00000118-5|PAC|NÃO|MCIDADES|Aguardando BM/RRE, Andamento Normal, PAC, Trabalho Social Dispensado
0237810|07|604686|0|ESTADO DA PARAIBA|08.761.124/0001-00|brenowanderley@cge.pb.gov.br;daniellecabral@cge.pb.gov.br;edison@cge.pb.gov.br;elias.asfora@gmail.com;eliaslopes@cge.pb.gov.br;ivo@cge.pb.gov.br;dantas@cge.pb.gov.br;sabino@cge.pb.gov.br;letaciojunior@gmail.com;valeriar@cge.pb.gov.br;claudiaoliveira@cagepa.pb.gov.br;darleymbc@cagepa.pb.gov.br;joaomelo@cagepa.pb.gov.br;gepe@cagepa.pb.gov.br;lopes@cagepa.pb.gov.br;marcus.neves@cagepa.pb.gov.br;ricardomoises@cagepa.pb.gov.br;dex@cagepa.pb.gov.br;rinaldoaraujo@cagepa.pb.gov.br;bonaldo.alves@seplag.pb.gov.br;diegoserafim@seplag.pb.gov.br;fernandoaraujo@seplag.pb.gov.br;girlando.gomes@seplag.pb.gov.br;marialvo.santos@sefaz.pb.gov.br;mario.pedrosa@sefaz.pb.gov.br;bruno.frade@sefaz.pb.gov.br;maria.martins@sefaz.pb.gov.br||Esgotamento Sanitário - Guarabira/PB|23/11/2007|28/12/2007|31/05/2025|9076397,08|4649100|4427297,08|0|3716870,98|2829558,28|887312,7|2694563,47|9076397,08|36|CABO BRANCO|0036.006.00000095-2|PAC|NÃO|MCIDADES|Andamento Normal, PAC, Trabalho Social Dispensado
0301542|19|658710|0|MUNICIPIO DE JOAO PESSOA - PB|08.778.326/0001-56|ag1909@caixa.gov.br;ag1909pb02@caixa.gov.br;seg6918pb@caixa.gov.br;bruno.vilar@caixa.gov.br;ana.n.rodrigues@caixa.gov.br;adriana.cassimirobatista@hotmail.com;ana.maria.patos@hotmail.com;arqglaualmeida@hotmail.com;dianaraduarte@hotmail.com;diegotavaresjp@gmail.com;glauciene.soares@joaopessoa.pb.gov.br;isabela_queiroga@hotmail.com;israelvcac@gmail.com;jaelsonjpa@hotmail.com;eng.arq.smsjp@gmail.com;eng_cassiareis@hotmail.com;ildebertosec.executivosemhab@gmail.com;julianny.albuquerque@joaopessoa.pb.gov.br;k.cilenejp@gmail.com;socialsemhab@gmail.com;karlasouza_02@gmail.com;kel_bfeitosa@hotmail.com;lucianomedeiros96@hotmail.com;marcos.arquiteto@live.com;margo.gapre@gmail.com;norma.gouveia1@gmail.com;pereiraln@gmail.com;pmjpseplanconvenios@gmail.com;rpr.rodrigues@gmail.com;rubensfalcao@gmail.com;samanda.silva@joaopessoa.pb.gov.br;sheilafreire@hotmail.com;sosgadelha@yahoo.com.br;thatiana.seinfra@gmail.com;tonissouza@gmail.com;zupsi@hotmail.com||Urbanizacao Comunidade Maria de Nazare URBANIZACAO COMUNIDADE MARIA DE NAZARE|17/11/2009|30/12/2009|30/04/2025|13177934,26|9275420|3902514,26|0|5443485|5443485|0|2353153,47|13177934,26|1909|CIDADE ANTIGA|1909.006.00647100-9|PAC|NÃO|MCIDADES|Falta Regularização Fundiária, MICE, Módulo Paralisadas, Novo PAC Legado, Obra em execução, Obra Paralisada, Trabalho Social
0306468|28|718755|737962009|MUNICIPIO DE SALGADO DE SAO FELIX - PB|09.072.463/0001-33|contato@prestcontas.com.br;fernandot_dilorenzo@hotmail.com;isn.2@iramiltonassessoria.com.br;oliveirajoni@hotmail.com;salgado.infra.pb.gov@gmail.com;petronilovieiraneto@gmail.com;ag0733@caixa.gov.br;jaime.lima@caixa.gov.br;helio.p.junior@caixa.gov.br;shardson.rodrigues@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br||INFRA-ESTRUTURA TURISTICA - CONSTRUCAO DE PRACA NO MUNICIPIO DE sALGADO DE SAO FELIX - PB.|07/12/2009|30/12/2009|28/09/2025|507731,09|487500|20231,09|0|487500|207872,49|279627,51|14007,64|507731,09|733|ITABAIANA DO NORTE|0733.006.00647098-4||NÃO|MTUR|Módulo Paralisadas, Obra Paralisada, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado, Sit. Atual Vencida - Impacto IGAT
0314279|92|731211|1266272009|MUNICIPIO DE ESPERANCA - PB|08.993.909/0001-08|ag1668@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;claudia.m.brito@caixa.gov.br;audalecio@gmail.com;contato@assppb.com.br;edmilsonlopes@gmail.com;engmatheusfernandes@hotmail.com;igoordelgado@hotmail.com;sandrarrsimoes@gmail.com;thiagomoraescz@gmail.com||Construcao de Vila Olimpica(ginasio esportivo, salas para pratica de esportes e artes marciais, pista de atletismo, camp|31/12/2009|31/12/2009|30/06/2025|9091268,01|5850000|2355581,03|885686,98|5850000|3712674,51|2137325,49|1021319,99|9091268,01|1668|ESPERANCA|1668.006.00647103-4||NÃO|MESP|Aguardando BM/RRE, Andamento Normal, Anexos Órgãos Externos, RP 2 - Discricionário
0335669|69|745139|479002010|MUNICIPIO DE JOAO PESSOA - PB|08.778.326/0001-56|ag1909@caixa.gov.br;ag1909pb02@caixa.gov.br;seg6918pb@caixa.gov.br;bruno.vilar@caixa.gov.br;ana.n.rodrigues@caixa.gov.br;adriana.cassimirobatista@hotmail.com;ana.maria.patos@hotmail.com;arqglaualmeida@hotmail.com;dianaraduarte@hotmail.com;diegotavaresjp@gmail.com;glauciene.soares@joaopessoa.pb.gov.br;isabela_queiroga@hotmail.com;israelvcac@gmail.com;jaelsonjpa@hotmail.com;eng.arq.smsjp@gmail.com;eng_cassiareis@hotmail.com;ildebertosec.executivosemhab@gmail.com;julianny.albuquerque@joaopessoa.pb.gov.br;k.cilenejp@gmail.com;socialsemhab@gmail.com;karlasouza_02@gmail.com;kel_bfeitosa@hotmail.com;lucianomedeiros96@hotmail.com;marcos.arquiteto@live.com;margo.gapre@gmail.com;norma.gouveia1@gmail.com;pereiraln@gmail.com;pmjpseplanconvenios@gmail.com;rpr.rodrigues@gmail.com;rubensfalcao@gmail.com;samanda.silva@joaopessoa.pb.gov.br;sheilafreire@hotmail.com;sosgadelha@yahoo.com.br;thatiana.seinfra@gmail.com;tonissouza@gmail.com;zupsi@hotmail.com||Melhoria de infra-estrutura urbana, atraves das obras de contencao da erosao marinha na orla de Joao Pessoa, Pb|01/07/2010|10/12/2010|30/04/2025|1017000|975000|42000|0|975000|0|975000|23341,42|1017000|1909|CIDADE ANTIGA|1909.006.00647114-9||NÃO|MTUR|Aguardando Processo Licitatório, Módulo Paralisadas, Obra Paralisada, Previsão Despesas Preparatórias, RP 2 - Discricionário, Saldo decorrente de rendimento do FI
